,song_name,artist_name,played_at,timestamp
0,Mine (Taylor's Version),Taylor Swift,2024-03-27T22:36:08.308Z,2024-03-27
1,"You're On Your Own, Kid",Taylor Swift,2024-03-27T22:32:14.164Z,2024-03-27
2,Anti-Hero,Taylor Swift,2024-03-27T22:28:57.521Z,2024-03-27
3,gold rush,Taylor Swift,2024-03-27T22:25:34.681Z,2024-03-27
4,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,2024-03-27T22:22:27.408Z,2024-03-27
5,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,2024-03-27T22:19:12.837Z,2024-03-27
6,Cornelia Street - Live From Paris,Taylor Swift,2024-03-27T22:15:57.395Z,2024-03-27
7,Wildest Dreams (Taylor's Version),Taylor Swift,2024-03-27T22:10:59.544Z,2024-03-27
8,Cruel Summer,Taylor Swift,2024-03-27T22:07:17.533Z,2024-03-27
9,willow,Taylor Swift,2024-03-27T22:04:16.935Z,2024-03-27
10,End Game,Taylor Swift,2024-03-27T22:00:40.320Z,2024-03-27
11,The Way I Loved You (Taylor’s Version),Taylor Swift,2024-03-27T21:56:33.993Z,2024-03-27
12,Karma,Taylor Swift,2024-03-27T21:52:28.715Z,2024-03-27
13,Mastermind,Taylor Swift,2024-03-27T21:49:01.961Z,2024-03-27
14,You’re Losing Me (From The Vault),Taylor Swift,2024-03-27T21:45:49.354Z,2024-03-27
15,Afterglow,Taylor Swift,2024-03-27T21:41:09.342Z,2024-03-27
16,champagne problems,Taylor Swift,2024-03-27T21:37:23.943Z,2024-03-27
17,Back To December (Taylor's Version),Taylor Swift,2024-03-27T21:33:17.982Z,2024-03-27
18,Love Story (Taylor’s Version),Taylor Swift,2024-03-27T21:28:21.036Z,2024-03-27
19,Gorgeous,Taylor Swift,2024-03-27T21:24:22.732Z,2024-03-27
20,example,Pepe Swift,2024-03-28T21:24:22.732Z,2024-03-28
21,example2,Jaime Swift,2024-03-29T21:24:22.732Z,2024-03-29
22,example3,Luis Swift,2024-03-30T21:24:22.732Z,2024-03-30
